,order_no,locatetime,lat,lon,speed,direction,accuracy
594001,No1372,1608031755000,31.24783010614868,121.48220477063732,0.0,265.551,550.0
594002,No1372,1608031762000,31.247824938245895,121.48214656712628,1.25,255.673,550.0
594003,No1372,1608031764000,31.24765048252427,121.48196394236581,2.42,235.571,550.0
594004,No1372,1608031770000,31.247654498319474,121.48196996310338,2.68,165.548,550.0
594005,No1372,1608031772000,31.24776023982509,121.4818977011159,3.26,104.13600000000001,550.0
594006,No1372,1608031776000,31.24767234708878,121.48226298813296,3.45,81.303,550.0
594007,No1372,1608031778000,31.24767453108403,121.48232620958423,2.29,90.82700000000001,550.0
594008,No1372,1608031782000,31.247636677262044,121.48237036764958,2.05,154.298,550.0
594009,No1372,1608031785000,31.24759076245538,121.48239244900074,2.02,165.39,550.0
594010,No1372,1608031788000,31.247544797744172,121.48239747052985,1.32,177.359,550.0
594011,No1372,1608031791000,31.24749083955601,121.48240349626258,2.02,182.55599999999998,550.0
594012,No1372,1608031801000,31.247442875746067,121.48240851796336,0.0,253.02,550.0
594013,No1372,1608031807000,31.247489840004118,121.48240349634808,0.0,253.02,550.0
594014,No1372,1608031823000,31.247382347924336,121.48221885817956,1.44,254.03599999999997,550.0
594015,No1372,1608031827000,31.247361022938012,121.48210445915453,2.96,257.122,550.0
594016,No1372,1608031831000,31.24733053798829,121.48193386434177,6.5,259.175,550.0
594017,No1372,1608031833000,31.247301085133895,121.48177430846631,8.95,256.072,550.0
594018,No1372,1608031835000,31.247267564111468,121.4815906690992,8.96,255.025,550.0
594019,No1372,1608031837000,31.247237094778384,121.4814250930558,7.11,255.025,550.0
594020,No1372,1608031841000,31.2471955137817,121.48121937823792,3.62,281.728,550.0
594021,No1372,1608031843000,31.24727528797044,121.48115414376173,2.41,315.82599999999996,550.0
594022,No1372,1608031846000,31.247391092818187,121.48110496227943,5.3,357.54400000000004,550.0
594023,No1372,1608031848000,31.24752896671191,121.48108287345866,8.73,355.491,550.0
594024,No1372,1608031851000,31.247823691460685,121.48103367671327,11.96,351.402,550.0
594025,No1372,1608031854000,31.24808645692017,121.48099351423244,11.84,352.425,550.0
594026,No1372,1608031857000,31.24842313973943,121.480936285969,8.72,351.31699999999995,550.0
594027,No1372,1608031859000,31.248546014681235,121.48091219148877,5.72,351.31699999999995,550.0
594028,No1372,1608031862000,31.24867088583176,121.48088709334822,5.24,350.091,550.0
594029,No1372,1608031864000,31.248765796676444,121.48087102925963,5.23,354.42800000000005,550.0
594030,No1372,1608031867000,31.248943644188177,121.48084592659916,8.33,353.37,550.0
594031,No1372,1608031870000,31.249227397724944,121.48080475893325,11.99,351.211,550.0
594032,No1372,1608031872000,31.249422211492792,121.48077062337828,10.06,350.19300000000004,550.0
594033,No1372,1608031874000,31.249597042983176,121.48073950003788,9.39,352.20599999999996,550.0
594034,No1372,1608031876000,31.249746900245533,121.48071339632597,7.17,351.185,550.0
594035,No1372,1608031880000,31.24992473630675,121.48068427974407,2.49,351.185,550.0
594036,No1372,1608031897000,31.249989646095713,121.48066320079828,3.2,353.07599999999996,550.0
594037,No1372,1608031899001,31.250041593760905,121.48065316140624,2.41,351.024,550.0
594038,No1372,1608031902001,31.25010452778114,121.48064011059246,2.27,350.00800000000004,550.0
594039,No1372,1608031904001,31.25015347970708,121.48063107495436,3.53,351.025,550.0
594040,No1372,1608031906001,31.250229410861508,121.48061902652599,4.37,352.026,550.0
594041,No1372,1608031909001,31.250392262463322,121.4805929217477,6.93,352.026,550.0
594042,No1372,1608031911001,31.250514149840697,121.48057284144548,6.62,352.026,550.0
594043,No1372,1608031914001,31.250636040151818,121.48055376464178,2.78,350.986,550.0
