,order_no,locatetime,lat,lon,speed,direction,accuracy
763092,No1327,1608036217984,31.234905079958487,121.66882842761362,7.71,340.131,550.0
763093,No1327,1608036219984,31.2350391484546,121.66876054867531,8.45,334.94800000000004,550.0
763094,No1327,1608036220984,31.235110196182667,121.66871862443803,0.0,0.0,0.0
763095,No1327,1608036221984,31.23518524590545,121.6686747037603,9.53,332.86199999999997,550.0
763096,No1327,1608036224984,31.23544235934927,121.66855391766774,10.65,339.038,550.0
763097,No1327,1608036226984,31.235628417432064,121.66847904803343,11.07,340.087,550.0
763098,No1327,1608036228984,31.235812480297742,121.66840218246827,0.0,0.0,0.0
763099,No1327,1608036229984,31.235892502897478,121.66837123609855,8.96,340.087,550.0
763100,No1327,1608036231984,31.236037553088632,121.66831034267315,8.32,340.087,550.0
763101,No1327,1608036232984,31.236105577386486,121.66828139342005,0.0,0.0,0.0
763102,No1327,1608036234984,31.236247621328435,121.66822449246934,8.49,340.087,550.0
763103,No1327,1608036236984,31.236393665369807,121.66816659313513,8.39,341.096,550.0
763104,No1327,1608036239984,31.236601719286174,121.66808872754551,8.01,342.11699999999996,550.0
763105,No1327,1608036240984,31.236667736881707,121.66806377068337,0.0,0.0,0.0
763106,No1327,1608036241984,31.236727749574573,121.66804280653821,6.62,343.124,550.0
763107,No1327,1608036244984,31.236853785621733,121.66799389137344,3.96,342.10400000000004,550.0
763108,No1327,1608036246984,31.236912802612615,121.66797093120712,3.22,342.10400000000004,550.0
763109,No1327,1608036251984,31.237002834118584,121.66793299764657,0.84,341.103,550.0
763110,No1327,1608036256983,31.237002834118584,121.66793299764657,0.0,0.0,0.0
763111,No1327,1608036266983,31.237002834118584,121.66793299764657,0.0,0.0,0.0
763112,No1327,1608036276983,31.23700884668506,121.66792501271759,0.0,0.0,0.0
763113,No1327,1608036278983,31.237044853163546,121.66791303306472,2.85,338.07599999999996,550.0
763114,No1327,1608036280983,31.237101892140963,121.66787909448175,3.84,329.606,550.0
763115,No1327,1608036282983,31.23715499804693,121.66781122242473,4.76,311.91200000000003,550.0
763116,No1327,1608036284983,31.23718715186552,121.66772339106723,0.0,0.0,0.0
763117,No1327,1608036286983,31.237187306941514,121.66764254876655,3.88,270.185,550.0
763118,No1327,1608036290983,31.23714766222013,121.66746689478848,4.99,253.18900000000002,550.0
763119,No1327,1608036292983,31.23711588173215,121.66736010580807,5.48,251.114,550.0
763120,No1327,1608036294983,31.23708410698653,121.66725032267638,5.74,251.114,550.0
763121,No1327,1608036296983,31.237051349926833,121.6671315571601,5.8,252.12900000000002,550.0
763122,No1327,1608036298983,31.237016588036337,121.66701578597502,0.0,0.0,0.0
763123,No1327,1608036299982,31.23699971451768,121.66695390813157,6.09,252.12900000000002,550.0
763124,No1327,1608036301982,31.23696496984779,121.66682915447838,6.3,252.12900000000002,550.0
763125,No1327,1608036302982,31.23694609724016,121.66676727680448,0.0,0.0,0.0
763126,No1327,1608036304982,31.236906368248274,121.66663553720358,6.74,251.114,550.0
763127,No1327,1608036306982,31.236865666499934,121.66648982494847,7.73,251.114,550.0
763128,No1327,1608036309982,31.23679715747357,121.66625029807823,8.19,253.16299999999998,550.0
763129,No1327,1608036310982,31.236781325565374,121.66616646298712,0.0,0.0,0.0
763130,No1327,1608036311982,31.23676948607485,121.66608562171646,7.81,261.63599999999997,550.0
763131,No1327,1608036314982,31.236769972097836,121.66583211628749,8.26,272.16200000000003,550.0
763132,No1327,1608036316982,31.236795303096525,121.66565346270383,8.64,280.789,550.0
763133,No1327,1608036318982,31.23684760828125,121.66548179320527,8.85,291.657,550.0
763134,No1327,1608036321982,31.23697498805613,121.66525322835189,8.47,307.789,550.0
763135,No1327,1608036322982,31.237027080879624,121.66519234273389,0.0,0.0,0.0
763136,No1327,1608036324982,31.23712823155834,121.66508953475578,6.93,319.69599999999997,550.0
763137,No1327,1608036326982,31.237227331520785,121.66501367438548,6.58,328.17800000000005,550.0
763138,No1327,1608036328982,31.237335389123743,121.66495777433381,6.34,336.582,550.0
763139,No1327,1608036330982,31.237440419429035,121.66491684533902,6.24,340.779,550.0
763140,No1327,1608036331982,31.237494432941673,121.66489687974229,0.0,0.0,0.0
763141,No1327,1608036333982,31.237611459676607,121.66485495168604,7.02,342.85699999999997,550.0
763142,No1327,1608036335982,31.237731488870672,121.66481102726776,7.24,343.88800000000003,550.0
763143,No1327,1608036338982,31.23792853254859,121.66474114699561,7.61,342.874,550.0
763144,No1327,1608036339982,31.237994550146446,121.66471619011793,0.0,0.0,0.0
763145,No1327,1608036341982,31.23812958397841,121.6646662761085,8.1,342.874,550.0
763146,No1327,1608036343982,31.238269625091338,121.66461137140385,0.0,0.0,0.0
763147,No1327,1608036344982,31.23834164951536,121.66458142374573,8.51,342.874,550.0
763148,No1327,1608036346981,31.238484698828216,121.66452152850816,8.65,342.874,550.0
763149,No1327,1608036347981,31.238558724257246,121.66449058262299,0.0,0.0,0.0
763150,No1327,1608036349981,31.238700768310427,121.66443368162332,8.19,341.871,550.0
763151,No1327,1608036350981,31.23876979029892,121.6644057303158,0.0,0.0,0.0
763152,No1327,1608036351981,31.238834819847348,121.6643747851762,7.79,340.858,550.0
763153,No1327,1608036354981,31.239041887743454,121.66428993318365,8.7,339.825,550.0
763154,No1327,1608036357981,31.23927695052861,121.66420108661323,9.11,340.835,550.0
763155,No1327,1608036358981,31.23935297507438,121.66417014054043,0.0,0.0,0.0
763156,No1327,1608036359981,31.23942699862505,121.66414019268828,8.41,340.835,550.0
763157,No1327,1608036362981,31.23963605612202,121.66406033076379,8.19,340.835,550.0
763158,No1327,1608036364981,31.23977609734465,121.6640054259905,8.11,340.835,550.0
763159,No1327,1608036366981,31.23991013940083,121.66395151976772,0.0,0.0,0.0
763160,No1327,1608036367981,31.239977156613588,121.66392656276577,7.71,340.835,550.0
763161,No1327,1608036370981,31.24015919209925,121.66386466806993,6.64,340.835,550.0
763162,No1327,1608036372981,31.24026922983441,121.66381874828564,6.28,340.835,550.0
763163,No1327,1608036374981,31.240373253126048,121.66378181150529,0.0,0.0,0.0
763164,No1327,1608036375981,31.240421265639963,121.6637638424765,5.45,342.05300000000005,550.0
763165,No1327,1608036377981,31.24051031866819,121.66371493026638,5.23,334.73199999999997,550.0
763166,No1327,1608036379981,31.240583411418108,121.66364905242321,5.15,314.724,550.0
763167,No1327,1608036381981,31.240620589227195,121.6635472475263,5.74,281.651,550.0
763168,No1327,1608036383981,31.240611831805374,121.66342249112581,0.0,0.0,0.0
763169,No1327,1608036384981,31.240600968430552,121.66335362607717,7.0,260.953,550.0
763170,No1327,1608036386981,31.240569263345016,121.6632069142493,7.47,257.871,550.0
