,order_no,locatetime,lat,lon,speed,direction,accuracy
595638,No0686,1607962208118,31.216976453395336,121.41560664956391,0.0,104.32,2.984
595639,No0686,1607962211140,31.216966499048585,121.41565769978565,4.93,87.45,3.133
595640,No0686,1607962213174,31.216975594689902,121.41578181957046,6.98,103.6,3.156
595641,No0686,1607962217121,31.216899892718143,121.41610314210499,7.63,106.31,3.4730000000000003
595642,No0686,1607962219196,31.21687301707891,121.41623827895567,6.99,106.2,3.77
595643,No0686,1607962223211,31.216827266972142,121.4165115579107,7.24,95.99,3.86
595644,No0686,1607962227301,31.21679358635495,121.4168689263976,8.75,93.52,3.7439999999999998
595645,No0686,1607962231145,31.216789913773933,121.41724531904536,8.77,92.78,3.322
595646,No0686,1607962233158,31.21678707415567,121.41742651082825,8.14,91.21,3.26
595647,No0686,1607962237157,31.21677738415669,121.41776987940402,7.17,94.48,3.138
595648,No0686,1607962241163,31.216771512208357,121.41790903071382,0.08,94.4,3.261
595649,No0686,1607962243168,31.216764521866935,121.41791603894383,0.02,94.34,3.3310000000000004
595650,No0686,1607962245383,31.216768519963573,121.41791603859565,0.01,94.33,4.0169999999999995
595651,No0686,1607962249161,31.216767521343545,121.41791703977157,0.0,94.43,4.187
595652,No0686,1607962253184,31.216766521819387,121.41791703985862,0.0,94.45,3.7880000000000003
595653,No0686,1607962257126,31.216766521819387,121.41791703985862,0.0,94.46,3.827
595654,No0686,1607962259149,31.216766521819387,121.41791703985862,0.0,94.47,3.841
595655,No0686,1607962263239,31.216766521819387,121.41791703985862,0.0,94.49,4.285
595656,No0686,1607962267170,31.216766521819387,121.41791703985862,0.0,94.49,4.237
595657,No0686,1607962271156,31.21676554219754,121.41793906391447,3.34,91.78,3.695
595658,No0686,1607962275178,31.21673272246328,121.41812026495803,5.65,103.88,3.717
595659,No0686,1607962277179,31.216700850356364,121.41824340340216,7.78,96.0,3.515
595660,No0686,1607962281304,31.216691213066138,121.41862983519759,10.91,90.55,3.054
595661,No0686,1607962285208,31.216705626356795,121.41907433939804,10.74,93.59,2.714
595662,No0686,1607962289180,31.216666062424398,121.41950684463167,10.23,91.29,3.123
595663,No0686,1607962291193,31.216641268237197,121.41970508006773,5.99,94.99,3.14
595664,No0686,1607962295124,31.21660958059794,121.42000544021461,9.39,94.27,4.374
595665,No0686,1607962297172,31.216606813539755,121.42023671887466,9.45,94.46,4.583
595666,No0686,1607962299379,31.21661301202524,121.42043596043708,7.49,83.41,4.51
595667,No0686,1607962302181,31.21666821047999,121.42065622570624,9.23,73.99,4.435
595668,No0686,1607962304188,31.216716422700053,121.42088450408878,11.87,76.2,3.969
595669,No0686,1607962306197,31.21676766929467,121.42114482519901,12.49,76.13,3.4610000000000003
595670,No0686,1607962310129,31.21686716218247,121.42165546545756,11.9,76.69,3.1439999999999997
595671,No0686,1607962312161,31.216915405001338,121.42190278043617,11.67,75.78,3.042
595672,No0686,1607962316113,31.217011835930048,121.42234034455913,10.99,79.98,2.571
595673,No0686,1607962318128,31.217052061130712,121.42256163438992,11.55,78.44,2.5860000000000003
595674,No0686,1607962320129,31.217101294279782,121.42279193808875,11.08,77.96,2.7569999999999997
595675,No0686,1607962322156,31.21713550074544,121.42299020245449,9.86,82.43,2.6710000000000003
595676,No0686,1607962324195,31.217154708104843,121.42318146060904,8.83,85.25,2.971
595677,No0686,1607962328127,31.217155205754533,121.42361605801153,10.6,90.76,3.492
595678,No0686,1607962330163,31.217153470282696,121.42384337454946,10.78,84.15,3.418
595679,No0686,1607962334160,31.21721696119708,121.42428699416517,10.17,77.53,2.969
595680,No0686,1607962338175,31.217326456888408,121.4247456416299,10.83,72.73,2.93
595681,No0686,1607962340195,31.2173967020126,121.42497596953837,10.91,76.31,3.031
595682,No0686,1607962344135,31.21746119084344,121.42540058683997,9.62,80.09,2.528
595683,No0686,1607962346164,31.217487438552435,121.42561089650391,9.82,76.93,2.739
595684,No0686,1607962348171,31.217521686876378,121.42582321074407,10.0,78.23,2.693
595685,No0686,1607962350189,31.217558952122786,121.42604854670032,11.2,77.16,2.5540000000000003
595686,No0686,1607962352147,31.217612253944335,121.42630693420857,11.77,74.37,3.0810000000000004
595687,No0686,1607962355183,31.21770068353504,121.42667549175769,11.26,73.0,3.36
595688,No0686,1607962359179,31.21782415979616,121.4270881220607,9.82,73.46,3.533
595689,No0686,1607962363162,31.217928539976842,121.42741562793844,5.52,72.28,3.1860000000000004
595690,No0686,1607962365231,31.2179676590421,121.42751978945645,4.93,92.96,3.159
595691,No0686,1607962369186,31.217837941341124,121.42768606511528,10.12,156.89,3.135
595692,No0686,1607962371332,31.217625189329084,121.42779625957834,12.05,157.95,3.72
595693,No0686,1607962375163,31.217221641525242,121.42799060650006,10.69,160.94,4.136
595694,No0686,1607962377177,31.217035839084755,121.4280717534186,10.08,161.11,4.381
595695,No0686,1607962379181,31.216872000803498,121.42813386797911,8.14,160.84,4.637
595696,No0686,1607962383171,31.216634235859612,121.4282240346171,4.0,161.62,4.788
595697,No0686,1607962387161,31.216562305382748,121.4282500831152,0.0,161.62,4.7
595698,No0686,1607962389328,31.216570300218137,121.42824908079467,0.02,161.62,4.9
595699,No0686,1607962393144,31.21657429831401,121.42824908044703,0.0,161.66,4.9
595700,No0686,1607962395198,31.216573298790042,121.42824908053394,0.0,161.67,4.9
595701,No0686,1607962399185,31.216570298861857,121.42824807916944,0.0,161.7,4.9
595702,No0686,1607962403190,31.216568301170202,121.42824908096848,0.0,161.77,4.9
595703,No0686,1607962405198,31.21656930069417,121.42824908088157,0.0,161.78,4.9
595704,No0686,1607962407274,31.216570298861857,121.42824807916944,0.0,161.81,4.9
595705,No0686,1607962411154,31.216570300218137,121.42824908079467,0.0,161.85,4.9
595706,No0686,1607962413163,31.216570300218137,121.42824908079467,0.0,161.85,4.9
595707,No0686,1607962415202,31.216570300218137,121.42824908079467,0.0,161.84,4.9
595708,No0686,1607962419171,31.216571298385826,121.42824807908254,0.0,161.84,4.9
595709,No0686,1607962423152,31.216570298861857,121.42824807916944,0.0,161.86,4.9
595710,No0686,1607962425321,31.216570298861857,121.42824807916944,0.0,161.87,4.9
595711,No0686,1607962428151,31.216524339752095,121.42826210592496,4.54,162.12,4.7
595712,No0686,1607962430166,31.216417434138116,121.42829416727899,5.43,161.51,4.7
595713,No0686,1607962434157,31.216241607692375,121.42836029010152,4.04,151.37,4.604
595714,No0686,1607962438172,31.216162784372205,121.42846246357888,3.4,119.43,4.7
595715,No0686,1607962442137,31.216154048853188,121.42865277612005,6.25,66.56,4.7
595716,No0686,1607962445168,31.21623029234442,121.42885610462204,6.27,62.2,4.7
595717,No0686,1607962447174,31.216286444319195,121.42898531378648,7.54,57.04,4.7
595718,No0686,1607962451148,31.216435739772656,121.42924873979612,8.79,52.35,4.7
595719,No0686,1607962453157,31.21651488997572,121.42938295792274,7.25,53.64,4.7
595720,No0686,1607962457150,31.216696221392652,121.42967944239219,9.17,52.61,4.7
595721,No0686,1607962459185,31.21680040058362,121.42984070727043,9.76,52.05,4.7
595722,No0686,1607962461328,31.216918584233802,121.43000898422832,10.33,48.6,4.7
595723,No0686,1607962465165,31.217220980147513,121.43038460418437,13.22,46.41,4.7
595724,No0686,1607962467172,31.217404183329293,121.43058493579807,13.44,46.76,4.7
595725,No0686,1607962471194,31.217738639466866,121.43100564305334,13.46,49.4,4.6419999999999995
595726,No0686,1607962475171,31.21805112844103,121.4314363788459,12.93,50.65,4.89
595727,No0686,1607962479284,31.218403633405146,121.43188515285732,14.86,50.36,4.7
595728,No0686,1607962483193,31.218772212635635,121.43238202326083,15.88,53.87,4.605
595729,No0686,1607962487190,31.219112902343326,121.43293501222306,16.49,55.87,4.421
595730,No0686,1607962489208,31.219284257738042,121.4332155197151,16.43,56.06,4.53
595731,No0686,1607962493148,31.21963196004327,121.43376652677259,16.36,49.81,4.922
595732,No0686,1607962495166,31.219826283816722,121.43402800728111,16.37,46.83,4.495
595733,No0686,1607962497352,31.22003458770565,121.43427947064286,16.45,44.75,4.269
595734,No0686,1607962501159,31.22046916874859,121.43476637379958,16.43,47.62,4.393
595735,No0686,1607962503161,31.22067948261851,121.43501984986426,16.43,51.72,3.9010000000000002
595736,No0686,1607962505161,31.220865851674855,121.43529838041326,16.53,58.67,4.148
