,order_no,locatetime,lat,lon,speed,direction,accuracy
245665,No0968,1608025801000,31.05676302708609,121.40174430867927,0.0,0.0,4.9
245666,No0968,1608025803000,31.05676302708609,121.40174430867927,0.0,0.0,4.7
245667,No0968,1608025805000,31.05676302708609,121.40174430867927,0.0,0.0,4.7
245668,No0968,1608025807000,31.05676302708609,121.40174430867927,0.0,0.0,4.244
245669,No0968,1608025809000,31.05676302708609,121.40174430867927,0.0,0.0,4.138999999999999
245670,No0968,1608025811000,31.056758029078477,121.40173930797944,1.35,162.37,3.645
245671,No0968,1608025813000,31.056720051301003,121.40174131172408,3.16,158.99,3.339
245672,No0968,1608025815000,31.0566570903955,121.40175732081295,4.22,161.44,4.138
245673,No0968,1608025817000,31.05656115189375,121.40179233712004,6.84,159.56,3.576
245674,No0968,1608025819000,31.05643523307206,121.40184035909903,8.17,158.87,3.44
245675,No0968,1608025821000,31.05628732886054,121.40189838545088,9.52,162.44,3.168
245676,No0968,1608025823000,31.05611843895156,121.40196741641921,10.54,158.55,3.287
245677,No0968,1608025825000,31.055940555778985,121.40204345011433,10.47,160.65,3.242
245678,No0968,1608025827000,31.0557626722939,121.40211648337488,10.88,161.02,3.5260000000000002
245679,No0968,1608025829000,31.055572797348347,121.4021965197087,11.82,160.66,3.097
245680,No0968,1608025831000,31.055365934503293,121.40228656040324,12.58,160.4,3.2039999999999997
245681,No0968,1608025833000,31.0551450809211,121.40238060377871,12.66,160.9,3.551
245682,No0968,1608025835000,31.054936219579638,121.40246864499079,11.41,161.11,3.002
245683,No0968,1608025837000,31.054749343578834,121.4025456817441,9.94,161.74,3.739
245684,No0968,1608025839000,31.05458744999373,121.40260671228287,8.89,162.77,3.0
245685,No0968,1608025841000,31.054441543658427,121.40265073695744,7.99,163.21,3.0
245686,No0968,1608025843000,31.054322619224795,121.40268275607697,5.24,165.02,3.0
245687,No0968,1608025845000,31.054251662996286,121.40269576582205,3.28,165.6,3.195
245688,No0968,1608025847000,31.054202694096592,121.40270877367057,2.81,146.57,3.218
245689,No0968,1608025849000,31.054165718067818,121.4027207802104,1.83,164.43,3.428
245690,No0968,1608025851000,31.05414073380264,121.40272678404615,1.38,167.1,3.52
245691,No0968,1608025853000,31.054117748607695,121.40273378798946,1.05,165.18,4.039
245692,No0968,1608025855000,31.05408776833669,121.40274479365934,2.01,163.41,4.294
245693,No0968,1608025857000,31.054039799336543,121.4027598020154,3.47,165.85,3.385
245694,No0968,1608025859000,31.053961849203755,121.40278181495073,5.71,168.36,4.376
245695,No0968,1608025861000,31.053842925426984,121.40281583485812,6.68,164.32,4.217
245696,No0968,1608025863000,31.05371700710205,121.40285585714423,6.83,162.79,4.295
245697,No0968,1608025865000,31.053602082054702,121.40289387798728,5.47,165.53,4.252
245698,No0968,1608025867000,31.053511141398065,121.40292389451449,4.37,164.57,3.948
245699,No0968,1608025869000,31.053432192940722,121.40294990888808,4.46,165.46,3.6689999999999996
245700,No0968,1608025871000,31.05333525652155,121.40298292689978,6.24,165.39,3.55
245701,No0968,1608025873000,31.053207338500442,121.40301794824171,8.03,166.07,3.475
245702,No0968,1608025875000,31.053049442562212,121.4030729781734,9.85,163.9,3.46
245703,No0968,1608025877000,31.05286556511417,121.40314201471884,10.29,164.44,3.2560000000000002
245704,No0968,1608025879000,31.05268468518999,121.40320705004004,10.56,164.12,4.114
245705,No0968,1608025881000,31.05249081247607,121.40327008609592,11.09,165.26,3.5
245706,No0968,1608025883000,31.05229294176473,121.40333112208698,11.61,163.88,4.023
245707,No0968,1608025885000,31.05208208199828,121.403405163484,12.18,164.22,3.057
245708,No0968,1608025887000,31.05187322082861,121.40347720436101,11.93,164.47,3.263
245709,No0968,1608025889000,31.051680348866956,121.40354224187355,10.49,163.94,3.7030000000000003
245710,No0968,1608025891000,31.05150746399987,121.40360127592787,9.17,163.63,3.161
245711,No0968,1608025893000,31.051357563657188,121.40365130522525,7.75,163.85,3.0
245712,No0968,1608025895000,31.05123364604279,121.40369232943448,6.68,164.3,3.0
245713,No0968,1608025897000,31.05112571687814,121.40372434936295,5.94,164.59,3.44
245714,No0968,1608025899000,31.05103077998925,121.4037553678868,5.21,163.73,3.0
245715,No0968,1608025901000,31.050943837989923,121.40378438509964,4.6,163.63,3.0
245716,No0968,1608025903000,31.050869887445256,121.40380939988744,4.21,163.48,3.071
245717,No0968,1608025905000,31.050797934964113,121.40383141352387,4.13,163.41,3.0
245718,No0968,1608025907000,31.050716988247245,121.40385542864178,5.15,164.16,3.11
245719,No0968,1608025909000,31.050628046451685,121.40388044482256,4.3,164.46,3.302
245720,No0968,1608025911000,31.050557092374998,121.40389845709247,3.51,164.37,3.008
245721,No0968,1608025913000,31.05050212824996,121.40391346696967,2.71,163.38,3.0
245722,No0968,1608025915000,31.050462154372763,121.40392447419167,1.76,162.24,3.0
245723,No0968,1608025917000,31.050439169856414,121.40393247892058,0.0,161.6,3.338
245724,No0968,1608025919000,31.050437171286625,121.40393347943616,0.0,161.4,3.366
245725,No0968,1608025921000,31.050437171286625,121.40393347943616,0.0,161.15,3.0
245726,No0968,1608025923000,31.050437171286625,121.40393347943616,0.0,161.2,3.0
245727,No0968,1608025925000,31.050437171286625,121.40393347943616,0.0,160.79,3.0
245728,No0968,1608025927000,31.050438170708965,121.40393347934956,0.0,159.6,3.0
245729,No0968,1608025929000,31.050438170708965,121.40393347934956,0.0,159.77,3.0
245730,No0968,1608025931000,31.050437171286625,121.40393347943616,0.0,159.73,3.0
245731,No0968,1608025933000,31.050437171286625,121.40393347943616,0.0,159.69,3.0
245732,No0968,1608025935000,31.050437171286625,121.40393347943616,0.0,159.74,3.0
245733,No0968,1608025937000,31.050437171286625,121.40393347943616,0.0,159.74,3.0
245734,No0968,1608025939000,31.050438170708965,121.40393347934956,0.0,159.71,3.0
245735,No0968,1608025941000,31.050438170708965,121.40393347934956,0.0,159.71,3.0
245736,No0968,1608025943000,31.050438170708965,121.40393347934956,0.0,159.72,3.0
245737,No0968,1608025945000,31.050438170708965,121.40393347934956,0.0,159.72,3.0
245738,No0968,1608025947000,31.050438170708965,121.40393347934956,0.0,159.71,3.0
245739,No0968,1608025949000,31.050438170708965,121.40393347934956,0.0,159.73,3.0
