,order_no,locatetime,lat,lon,speed,direction,accuracy
77346,No2393,1608022546002,31.51509979404231,121.78371057157374,0.0,303.79,3.0
77347,No2393,1608022548002,31.51509979404231,121.78371057157374,0.0,303.79,3.0
77348,No2393,1608022550002,31.51510478039687,121.78370055240018,1.88,303.79,3.0
77349,No2393,1608022552002,31.51512871234821,121.78365045666648,3.55,303.79,3.0
77350,No2393,1608022554002,31.51516662435307,121.78358633362697,3.94,303.37,3.0
77351,No2393,1608022556002,31.515202536746113,121.78352221089192,3.92,304.53,3.0
77352,No2393,1608022558002,31.515227435285695,121.78344606682967,4.15,281.72,3.0
77353,No2393,1608022560001,31.515219323050694,121.78335790340338,4.17,249.15,3.0
77354,No2393,1608022562002,31.51517524934509,121.7832957916814,3.59,213.08,3.429
77355,No2393,1608022564001,31.515123223053326,121.78326974772419,2.54,198.53,3.036
77356,No2393,1608022566002,31.5150922080318,121.78325472245956,1.14,196.54,3.0
77357,No2393,1608022568002,31.515077202380773,121.78324871257716,1.09,196.54,3.0
77358,No2393,1608022570002,31.51505117513878,121.78322467016473,2.5,196.54,3.0
77359,No2393,1608022572002,31.51498911822923,121.78317358067618,4.24,210.07,3.0
77360,No2393,1608022574002,31.51491806774971,121.78312649946275,4.07,209.14,3.0
77361,No2393,1608022576002,31.51485302035266,121.78308242337445,3.76,215.75,3.0
77362,No2393,1608022578002,31.514803955491075,121.78302632375605,4.21,232.14,3.0
77363,No2393,1608022580002,31.514775859779483,121.78294818174808,4.3,265.14,3.103
77364,No2393,1608022582002,31.5147887229839,121.78284198473979,5.97,299.11,4.146
77365,No2393,1608022584002,31.514859545564065,121.7827097352637,9.0,303.77,4.7
77366,No2393,1608022586002,31.514985263804906,121.78250034029006,11.28,302.16,4.7
77367,No2393,1608022588002,31.515106952434767,121.78226590142687,13.0,301.44,4.7
77368,No2393,1608022590002,31.515244622960882,121.78201743757161,13.39,301.78,4.8180000000000005
77369,No2393,1608022592001,31.51537428890017,121.78176296560835,13.57,301.3,3.9789999999999996
77370,No2393,1608022594002,31.515504968913973,121.78151851376184,13.17,299.97,3.2239999999999998
77371,No2393,1608022596002,31.515614649831395,121.7812710603471,13.26,297.22,3.0
77372,No2393,1608022598002,31.515731319366868,121.78101359056983,13.8,298.9,3.0
77373,No2393,1608022600002,31.51585798341009,121.7807511133264,14.37,301.65,3.0
77374,No2393,1608022602002,31.51599164731503,121.78048763608405,14.84,301.34,3.0
77375,No2393,1608022604002,31.51612930673453,121.78021915210616,15.13,300.94,3.0
77376,No2393,1608022606002,31.51626797409584,121.77995567927891,14.44,301.16,3.0
77377,No2393,1608022608002,31.516407637475915,121.77968720008515,15.16,301.29,3.0
77378,No2393,1608022610002,31.51655229294358,121.77941070914778,15.69,301.41,3.0
77379,No2393,1608022612002,31.516696953031357,121.77913622433023,15.34,301.27,3.0
77380,No2393,1608022614002,31.51683761245336,121.77885873737803,15.42,300.69,3.0
77381,No2393,1608022616002,31.516979279808805,121.77858626156382,15.07,300.93,3.0
77382,No2393,1608022618002,31.51712393419014,121.77830076616077,16.4,301.74,3.0
77383,No2393,1608022620001,31.517286569411493,121.77799824358391,17.53,302.52,3.0
77384,No2393,1608022622002,31.517464188606933,121.77768069799133,18.45,303.31,3.0
77385,No2393,1608022624001,31.517652794991523,121.7773501335662,19.19,303.15,3.0
77386,No2393,1608022626002,31.517840391682615,121.77700755345985,19.66,301.39,3.0
77387,No2393,1608022628002,31.51802397620574,121.77664995350688,20.12,301.05,3.0
77388,No2393,1608022630002,31.518214545457607,121.77627533014818,21.14,301.14,3.0
77389,No2393,1608022632002,31.518415099660782,121.77588368385622,21.93,300.96,3.0
