,order_no,locatetime,lat,lon,speed,direction,accuracy
570302,No2113,1608009443000,31.398412522664024,121.50028165879199,0.18,40.79,9.994
570303,No2113,1608009445000,31.39841151994798,121.50028065526163,0.0,0.0,9.968
570304,No2113,1608009447000,31.398405497655606,121.50027262684803,0.64,39.0,9.974
570305,No2113,1608009449000,31.398394473774818,121.5002635952451,0.81,26.1,9.976
570306,No2113,1608009451000,31.39838046273219,121.50025857836091,0.89,14.6,10.081
570307,No2113,1608009453000,31.398386464038353,121.5002595814647,0.27,10.3,9.98
570308,No2113,1608009455000,31.39839146862461,121.5002615882696,0.2,9.69,9.997
570309,No2113,1608009457000,31.39840945155688,121.50025757227077,1.25,348.0,9.985
570310,No2113,1608009459000,31.398438362430845,121.5002304721696,2.49,323.79,10.075
570311,No2113,1608009461000,31.398481215386727,121.50018530578357,3.07,325.0,10.044
570312,No2113,1608009463000,31.398545056422112,121.50013813036618,3.64,329.5,10.024
570313,No2113,1608009465000,31.398609921162052,121.50009898378629,3.75,332.7,10.025
570314,No2113,1608009467000,31.39867978449324,121.50005983677438,4.36,333.1,9.972000000000001
570315,No2113,1608009469000,31.39877661923053,121.50001366213706,6.9,334.1,9.968
570316,No2113,1608009471000,31.398895423787568,121.49995945668088,7.5,336.7,10.03
570317,No2113,1608009473000,31.399039149334236,121.49988116227335,9.1,336.7,10.041
570318,No2113,1608009475000,31.399126920620443,121.49981290879748,4.32,329.29,10.015
570319,No2113,1608009477000,31.399139703976225,121.49974165085534,3.63,278.79,9.95
570320,No2113,1608009479000,31.399110535122333,121.49968243989441,3.9,230.0,10.058
570321,No2113,1608009481000,31.399067388195824,121.49962925182504,4.53,232.39,10.106
570322,No2113,1608009483000,31.399025090949152,121.49952588276108,6.13,246.3,10.04
570323,No2113,1608009485000,31.39898068018979,121.49938437633789,7.15,250.19,9.976
570324,No2113,1608009487000,31.39893321618383,121.49922480497828,8.44,249.3,10.119
570325,No2113,1608009489000,31.39887869402953,121.49904516176679,9.25,250.19,10.044
570326,No2113,1608009491000,31.39882213331318,121.49885247159466,9.56,251.0,9.99
570327,No2113,1608009493000,31.39876858366797,121.49866379556784,9.15,250.5,10.033999999999999
570328,No2113,1608009495000,31.398723157836162,121.49851727084804,6.34,249.0,10.02
570329,No2113,1608009497000,31.398687909371816,121.49843096247339,4.38,246.5,9.975
570330,No2113,1608009499000,31.398650649438437,121.49834063977383,5.46,243.6,9.951
570331,No2113,1608009501000,31.398612296637104,121.49821920489842,7.11,253.1,9.972999999999999
570332,No2113,1608009503000,31.39857280587427,121.4980516035136,8.92,253.6,9.971
570333,No2113,1608009505000,31.39852928012233,121.4978719589754,8.75,251.89,9.974
570334,No2113,1608009507000,31.398484799672882,121.49770736880807,8.38,251.1,9.97
570335,No2113,1608009509000,31.398439340498765,121.49754980405045,7.53,250.69,9.975
570336,No2113,1608009511000,31.39839995173447,121.49741632568313,6.38,250.69,9.974
570337,No2113,1608009513000,31.3983665973247,121.49729489025314,5.78,251.89,10.164
570338,No2113,1608009515000,31.398338304614107,121.49719453044867,4.8,251.69,10.013
570339,No2113,1608009517000,31.39831709709772,121.49712327507982,2.98,251.6,9.946
