,order_no,locatetime,lat,lon,speed,direction,accuracy
438814,No1354,1607997555000,31.239780121412124,121.50583901973206,0.18,239.39,29.214000000000002
438815,No1354,1607997557000,31.23977613508928,121.50584303437239,0.33,238.19,29.706999999999997
438816,No1354,1607997559000,31.239767136224497,121.50584203155854,1.03,233.6,29.705
438817,No1354,1607997561000,31.23975709335658,121.50582597519627,1.95,230.39,29.358
438818,No1354,1607997563000,31.23972898754417,121.50578583453466,1.95,226.19,29.543000000000003
438819,No1354,1607997565000,31.23969580987765,121.50572060487185,1.95,223.8,29.162
438820,No1354,1607997567000,31.239671613249612,121.50565035652508,1.95,224.8,25.886999999999997
438821,No1354,1607997569000,31.239643480688255,121.50560118360491,2.15,225.69,12.136
438822,No1354,1607997571000,31.23962441816131,121.50557709934911,0.8,227.1,12.579
438823,No1354,1607997573000,31.239613378681074,121.5055620466127,0.75,228.1,11.942
438824,No1354,1607997575000,31.239602348097957,121.50555000460834,1.22,228.69,10.234
438825,No1354,1607997577000,31.239579272551637,121.5055209027895,1.98,228.8,19.471
438826,No1354,1607997579000,31.239576250186126,121.50551287441724,0.0,0.0,9.049
438827,No1354,1607997581000,31.239557187642923,121.50548879014343,0.28,228.6,20.4
438828,No1354,1607997583000,31.239539142441373,121.50547072725222,0.72,228.3,22.905
438829,No1354,1607997585000,31.23950901665711,121.50542356158469,1.23,228.39,25.944000000000003
438830,No1354,1607997587000,31.239488915975038,121.50538643084637,1.54,228.89,23.836
438831,No1354,1607997589000,31.239469794050898,121.5053422749539,1.23,230.1,21.219
438832,No1354,1607997591000,31.239458704084807,121.50531016132888,1.05,232.19,19.539
438833,No1354,1607997593000,31.23944460954083,121.50527604078866,1.14,234.3,10.46
438834,No1354,1607997595000,31.239437574139913,121.50526299483666,0.76,235.3,10.703
438835,No1354,1607997597000,31.2394114345806,121.5052118144261,0.76,236.1,10.882
438836,No1354,1607997599000,31.23935821228273,121.50512852167562,0.76,230.19,11.868
438837,No1354,1607997601000,31.239295009343316,121.50505024762633,0.76,224.39,13.349
438838,No1354,1607997603000,31.239225761560125,121.50495591671073,5.36,235.8,13.04
438839,No1354,1607997605000,31.23916644971597,121.5048415132038,7.05,239.19,12.044
438840,No1354,1607997607000,31.23909805566617,121.5046980063972,8.31,241.1,11.991
438841,No1354,1607997609000,31.23902060013996,121.50453242130015,8.85,242.5,11.574000000000002
438842,No1354,1607997611000,31.238956138486337,121.50436683489598,8.6,244.0,11.439
438843,No1354,1607997613000,31.238893672748855,121.50420024453157,8.39,246.19,11.511
438844,No1354,1607997615000,31.238825161909677,121.50401759703654,10.19,247.6,11.200999999999999
438845,No1354,1607997617000,31.23874750002296,121.5037827633152,12.1,250.89,11.296
438846,No1354,1607997619000,31.23867875614934,121.50352183503024,12.25,255.19,11.825
438847,No1354,1607997621000,31.238640195001647,121.50332714101496,7.38,258.0,12.255999999999998
438848,No1354,1607997623000,31.23861377134945,121.50318061833434,7.63,259.89,11.116
438849,No1354,1607997625000,31.238586231623543,121.50299495533713,9.42,262.5,10.597000000000001
438850,No1354,1607997627000,31.238570611562736,121.50278420116582,10.85,266.39,9.024
438851,No1354,1607997629000,31.23856190439954,121.5025453453598,10.82,270.0,8.081
438852,No1354,1607997631000,31.23856420085224,121.5023094991003,10.98,274.0,7.529
438853,No1354,1607997633000,31.23858349521456,121.50207565830094,10.51,279.0,7.379
438854,No1354,1607997635000,31.238614834655003,121.50185887745099,10.06,282.0,7.309
438855,No1354,1607997637000,31.238651138655918,121.5016310562955,11.02,280.79,6.813
438856,No1354,1607997639000,31.238683411297075,121.50139219557164,11.47,280.7,6.734
438857,No1354,1607997641000,31.238728641797053,121.50114129020767,12.31,286.0,13.134
438858,No1354,1607997643000,31.238794844451903,121.50088436114464,12.48,291.5,14.288
438859,No1354,1607997645000,31.23888307274581,121.50063947324706,12.14,293.79,14.165999999999999
438860,No1354,1607997647000,31.238975355929405,121.50041365335568,11.73,295.2,13.501
438861,No1354,1607997649000,31.23907159211302,121.50017277878587,12.59,295.39,13.149000000000001
438862,No1354,1607997651000,31.23917479189749,121.49992086370219,13.21,295.5,13.543
438863,No1354,1607997653000,31.239287008364613,121.49967597293482,12.78,299.39,13.23
438864,No1354,1607997655000,31.23939631904599,121.49946219422952,10.98,302.29,13.290999999999999
438865,No1354,1607997657000,31.239510663335494,121.49926045832893,11.89,302.7,12.058
438866,No1354,1607997659000,31.239628933632126,121.49903463526185,12.27,300.0,13.845
438867,No1354,1607997661000,31.23973020252933,121.49880580267596,12.1,294.39,13.854000000000001
438868,No1354,1607997663000,31.23982345391314,121.49856994535689,12.42,293.79,13.210999999999999
438869,No1354,1607997665000,31.23992068832467,121.49832906951858,12.52,294.29,12.42
438870,No1354,1607997668000,31.24006650966345,121.49795771943023,13.0,294.6,5.856
438871,No1354,1607997670000,31.24016073312674,121.49771282916494,12.28,294.0,5.6579999999999995
438872,No1354,1607997672000,31.240236025255925,121.49748801276766,11.03,287.6,6.224
