,order_no,locatetime,lat,lon,speed,direction,accuracy
601339,No1240,1608043600991,31.174127266674084,121.36662156292108,0.0,62.641999999999996,550.0
601340,No1240,1608043699988,31.174140226299794,121.3666495222098,2.48,62.083,550.0
601341,No1240,1608043701988,31.174172126930046,121.36671842201413,3.93,62.083,550.0
601342,No1240,1608043704988,31.17425088386518,121.3668871773086,6.78,62.083,550.0
601343,No1240,1608043707988,31.17435953592329,121.36713182494745,9.85,62.083,550.0
601344,No1240,1608043710988,31.17447816235154,121.36739544766712,11.6,63.178999999999995,550.0
601345,No1240,1608043713988,31.17465160614211,121.36779288436622,12.73,63.178999999999995,550.0
601346,No1240,1608043715988,31.17475626736659,121.36803754080485,13.03,63.178999999999995,550.0
601347,No1240,1608043717988,31.17485794013231,121.3682752092681,12.68,63.178999999999995,550.0
601348,No1240,1608043719988,31.1749516279781,121.36850489134865,12.12,64.202,550.0
601349,No1240,1608043722988,31.175085186969717,121.36883144284911,10.93,64.202,550.0
601350,No1240,1608043724987,31.17516592058467,121.36903017199386,10.07,64.202,550.0
601351,No1240,1608043727987,31.175267585417505,121.36928183127276,7.62,64.202,550.0
601352,No1240,1608043729987,31.175313435672695,121.36939467927519,4.12,65.207,550.0
601353,No1240,1608043737987,31.17533934996242,121.36945959211035,3.05,63.178000000000004,550.0
601354,No1240,1608043739987,31.175372243044873,121.36954048367025,5.08,64.202,550.0
601355,No1240,1608043742987,31.175450987876676,121.36973422500498,8.03,65.232,550.0
601356,No1240,1608043744987,31.175523754594575,121.36991198893736,10.27,65.232,550.0
601357,No1240,1608043746987,31.175609485166998,121.37011771717282,11.06,64.209,550.0
601358,No1240,1608043749987,31.17575601726054,121.37047924405866,13.57,65.212,550.0
601359,No1240,1608043752987,31.175911534254457,121.37085475791334,13.48,64.202,550.0
601360,No1240,1608043754987,31.176013204997094,121.37111542434697,13.75,65.248,550.0
601361,No1240,1608043757987,31.176159723222952,121.37150193518963,14.38,65.248,550.0
601362,No1240,1608043759987,31.17631932986567,121.37180155619006,15.35,65.248,550.0
601363,No1240,1608043761986,31.1764439553678,121.37210318150903,16.23,65.248,550.0
601364,No1240,1608043764986,31.176624373615727,121.37258459287733,16.87,67.31,550.0
601365,No1240,1608043766986,31.17672098570434,121.37292218842629,16.88,70.532,550.0
601366,No1240,1608043769986,31.17685739610471,121.37344856853399,17.76,72.668,550.0
601367,No1240,1608043771986,31.176940013029935,121.37379916282723,17.53,73.684,550.0
601368,No1240,1608043773986,31.177028627461493,121.37415375733171,16.79,73.684,550.0
601369,No1240,1608043776986,31.177154096369243,121.37464820066025,15.73,73.684,550.0
601370,No1240,1608043778986,31.177244758401617,121.37496185198167,14.65,71.58800000000001,550.0
601371,No1240,1608043780986,31.177332457458228,121.37524054508509,12.43,70.51899999999999,550.0
601372,No1240,1608043782986,31.17738424002858,121.3754503175276,8.97,74.726,550.0
601373,No1240,1608043784986,31.177421094778712,121.37559016667421,5.24,74.726,550.0
