,order_no,locatetime,lat,lon,speed,direction,accuracy
559794,No0925,1607995673024,31.21729091876428,121.3845210806097,0.0,0.0,11.655
559795,No0925,1607995677011,31.21745480739534,121.38458102770956,8.1,22.2,12.196
559796,No0925,1607995679021,31.21755672620354,121.38463998101959,6.46,18.79,11.222000000000001
559797,No0925,1607995681048,31.217705625591368,121.38469393358602,7.98,23.5,11.394
559798,No0925,1607995683054,31.217829508486936,121.38479985555294,9.01,33.0,11.167
559799,No0925,1607995686992,31.218158258803093,121.38497171894619,8.63,24.2,10.855
559800,No0925,1607995689001,31.218308141323437,121.38505765243616,8.6,26.0,10.921
559801,No0925,1607995691010,31.218442030151984,121.38514658582802,8.68,25.2,10.405999999999999
559802,No0925,1607995694994,31.21870282687472,121.3852964713642,9.39,19.5,11.876
559803,No0925,1607995697024,31.21885573697634,121.38532943800243,8.21,12.19,13.104000000000001
559804,No0925,1607995700990,31.21916956981527,121.38536438946076,8.06,3.7,12.343
559805,No0925,1607995702992,31.219322495775355,121.38536737432104,8.36,350.39,11.937999999999999
559806,No0925,1607995705018,31.21946242372046,121.38537835548027,5.34,359.1,11.497
559807,No0925,1607995707038,31.21957539015442,121.38534036862559,4.86,352.2,11.537
559808,No0925,1607995711039,31.219649346730453,121.38535635249296,0.87,353.7,11.538
559809,No0925,1607995715004,31.219693315423463,121.38537633656871,1.04,18.29,11.979000000000001
559810,No0925,1607995717011,31.219714289268598,121.38540731603516,1.76,20.1,12.638
559811,No0925,1607995721013,31.219751255060483,121.38543929355308,1.09,352.39,10.767000000000001
559812,No0925,1607995723022,31.219758254876023,121.38543329655077,0.56,358.29,10.708
559813,No0925,1607995727004,31.21977324465028,121.3854392916369,0.46,6.4,10.31
559814,No0925,1607995731004,31.219825207548936,121.38546327269545,2.33,28.1,10.509
559815,No0925,1607995733034,31.219877155431952,121.38551623643723,4.17,45.7,10.49
559816,No0925,1607995737016,31.219900969267453,121.38585803285704,8.9,84.59,10.273
