,order_no,locatetime,lat,lon,speed,direction,accuracy
735886,No0718,1608029837008,31.417445709361335,121.4254762639892,0.0,7.541,550.0
735887,No0718,1608029848008,31.417474694445236,121.42547025252358,2.58,6.655,550.0
735888,No0718,1608029851008,31.41758368734131,121.42548726826732,4.8,7.555,550.0
735889,No0718,1608029853008,31.417676700502145,121.42551730479049,6.3,10.620999999999999,550.0
735890,No0718,1608029856008,31.417860676601045,121.42553631698657,6.85,9.605,550.0
735891,No0718,1608029858008,31.417984657046613,121.42554632103383,6.95,8.601,550.0
735892,No0718,1608029860008,31.418105644494226,121.42556133280877,6.07,8.601,550.0
735893,No0718,1608029863008,31.418214628848585,121.42557133818299,1.88,8.601,550.0
735894,No0718,1608029884009,31.41828060938096,121.42556932941596,3.09,6.571000000000001,550.0
735895,No0718,1608029886009,31.41833860439491,121.42557733627632,3.16,6.571000000000001,550.0
735896,No0718,1608029888009,31.418402600357776,121.42558734560107,3.77,6.571000000000001,550.0
735897,No0718,1608029890009,31.418481592474173,121.42559735361685,4.83,7.574,550.0
735898,No0718,1608029892009,31.418563588805497,121.42561136735318,4.54,5.33,550.0
735899,No0718,1608029896009,31.418719472962938,121.4255502626089,4.45,339.44199999999995,550.0
735900,No0718,1608029898009,31.418782381177255,121.42548916620372,4.55,320.57099999999997,550.0
735901,No0718,1608029900009,31.41883327163849,121.42541104580044,4.06,303.226,550.0
735902,No0718,1608029904009,31.41887202779443,121.42522076129111,5.87,276.378,550.0
735903,No0718,1608029906009,31.41888387173057,121.4250955763271,6.29,277.41,550.0
735904,No0718,1608029909009,31.41890959866811,121.42487625378102,7.63,278.443,550.0
735905,No0718,1608029911009,31.41893038913561,121.42470700648953,8.57,278.443,550.0
735906,No0718,1608029913009,31.41895315162095,121.4245137259745,9.21,278.443,550.0
735907,No0718,1608029915009,31.418975919293217,121.42432345167408,9.04,278.443,550.0
735908,No0718,1608029918009,31.419009585638424,121.42404805791497,8.34,278.443,550.0
735909,No0718,1608029920009,31.419029401158017,121.42389484044698,6.45,278.443,550.0
735910,No0718,1608029923009,31.41904722170107,121.42374462856509,3.61,278.443,550.0
735911,No0718,1608029925009,31.419056148572903,121.42368354258724,2.56,278.443,550.0
735912,No0718,1608029972010,31.41905308562641,121.42362846620622,0.28,278.443,550.0
735913,No0718,1608029975010,31.41905701293509,121.4235663796458,3.2,278.443,550.0
735914,No0718,1608029977011,31.419064935931527,121.42350128877828,3.11,277.42900000000003,550.0
735915,No0718,1608029981011,31.419077777519295,121.42336610107321,3.73,276.427,550.0
735916,No0718,1608029983011,31.41909066325258,121.42326896646914,5.76,276.44,550.0
735917,No0718,1608029986011,31.41912545518667,121.42309372385539,5.14,278.508,550.0
735918,No0718,1608029988011,31.419149342648552,121.42299959374076,4.48,273.27099999999996,550.0
735919,No0718,1608029990011,31.41917623648489,121.42291147195195,4.33,276.464,550.0
735920,No0718,1608029994011,31.419177067842885,121.42276126923531,3.4,269.264,550.0
735921,No0718,1608029996011,31.419177974838078,121.42267815753132,4.98,259.33099999999996,550.0
735922,No0718,1608029998011,31.41912686989519,121.4225720199788,6.65,261.395,550.0
735923,No0718,1608030001011,31.419066660651804,121.42236875489112,6.76,264.631,550.0
735924,No0718,1608030003011,31.419037520807812,121.42223458015893,6.52,261.54,550.0
735925,No0718,1608030005011,31.419029380733047,121.42210440977613,5.73,259.52299999999997,550.0
735926,No0718,1608030007011,31.419011266754843,121.4219952685888,5.08,259.52299999999997,550.0
735927,No0718,1608030009011,31.418996174156394,121.42190615379567,4.15,255.37900000000002,550.0
735928,No0718,1608030012011,31.418959004692628,121.42173994158766,6.39,257.513,550.0
735929,No0718,1608030014011,31.41892484955221,121.4215867472695,8.23,255.47,550.0
735930,No0718,1608030017011,31.4188435615289,121.42129538250727,10.97,255.47,550.0
735931,No0718,1608030019011,31.418798340011847,121.42107310575463,11.06,255.47,550.0
735932,No0718,1608030021011,31.41874910514839,121.42083481200085,11.65,255.47,550.0
735933,No0718,1608030024011,31.418676772460643,121.42049239524395,10.88,256.47700000000003,550.0
735934,No0718,1608030026011,31.41863258079844,121.42029215454812,9.3,256.47700000000003,550.0
735935,No0718,1608030029012,31.418590346376302,121.42004786273151,6.94,255.477,550.0
735936,No0718,1608030032012,31.418529145203458,121.41982960672584,8.17,257.55,550.0
735937,No0718,1608030034012,31.418501964870124,121.4196393833542,9.66,256.493,550.0
735938,No0718,1608030036012,31.418459772492156,121.4194311420992,10.15,254.456,550.0
735939,No0718,1608030038012,31.41841758974581,121.4192309124221,9.21,255.49200000000002,550.0
735940,No0718,1608030041012,31.418370381457237,121.41900065079568,6.19,255.49200000000002,550.0
735941,No0718,1608030043012,31.418367271029567,121.41888351694848,5.28,273.057,550.0
735942,No0718,1608030046012,31.41846212753307,121.41875736500181,5.83,320.743,550.0
735943,No0718,1608030048012,31.418576084108928,121.41874233796354,6.96,346.92,550.0
735944,No0718,1608030050012,31.41871300847879,121.41869927716411,8.22,346.92,550.0
735945,No0718,1608030053012,31.418931872575357,121.4186141618108,8.58,345.917,550.0
735946,No0718,1608030055012,31.4190837934064,121.41857109998702,9.14,345.917,550.0
735947,No0718,1608030057012,31.41925971379511,121.41853404290326,9.88,345.917,550.0
735948,No0718,1608030060012,31.41952155838448,121.41843891332189,10.63,345.917,550.0
735949,No0718,1608030063012,31.41980642902103,121.41837782012804,10.74,345.917,550.0
735950,No0718,1608030066012,31.42008727697239,121.41829069855723,10.51,344.899,550.0
735951,No0718,1608030069012,31.420358133412147,121.41820958490818,10.41,345.913,550.0
735952,No0718,1608030071012,31.420544036561186,121.41815550886739,10.74,345.913,550.0
735953,No0718,1608030074012,31.42084587847149,121.41806638427738,11.62,345.913,550.0
735954,No0718,1608030076012,31.421051769729633,121.4180042981166,11.58,345.913,550.0
735955,No0718,1608030079013,31.421334619960373,121.4179181791809,10.44,345.913,550.0
735956,No0718,1608030081013,31.42151352490646,121.41786310349723,9.94,345.913,550.0
735957,No0718,1608030084013,31.421751382732072,121.41777198372912,8.96,345.913,550.0
735958,No0718,1608030086013,31.42190430904044,121.41773292806083,8.15,345.913,550.0
735959,No0718,1608030088013,31.422031254545416,121.41770788988137,6.45,345.913,550.0
735960,No0718,1608030092013,31.422201180301784,121.41767283716993,3.74,344.881,550.0
735961,No0718,1608030094013,31.42226114729001,121.41765281033634,3.14,344.881,550.0
735962,No0718,1608030096013,31.422313116318904,121.41763278422569,2.62,344.881,550.0
735963,No0718,1608030099013,31.42235908510021,121.41761075651095,0.37,344.881,550.0
735964,No0718,1608030132004,31.422429045183694,121.41758572349309,4.04,344.881,550.0
735965,No0718,1608030135003,31.422547977847703,121.41754366797494,5.69,343.904,550.0
735966,No0718,1608030138002,31.42270689876248,121.41749960690169,6.63,336.577,550.0
735967,No0718,1608030140002,31.42273373318963,121.41731941281782,6.26,295.904,550.0
735968,No0718,1608030143002,31.422694563949204,121.41711419999493,7.66,249.472,550.0
735969,No0718,1608030145001,31.422639425572243,121.41693802094996,9.78,250.503,550.0
735970,No0718,1608030147001,31.422578255158108,121.41672080186753,11.56,251.543,550.0
735971,No0718,1608030149001,31.42251506465709,121.41647655803038,12.05,251.543,550.0
735972,No0718,1608030152001,31.422423782213258,121.41610919691904,12.23,251.543,550.0
735973,No0718,1608030155001,31.42232250915262,121.415742844842,12.21,251.543,550.0
735974,No0718,1608030157001,31.422236337560815,121.41550161862212,11.83,251.543,550.0
735975,No0718,1608030160001,31.42213810498579,121.41517531593958,10.78,250.523,550.0
735976,No0718,1608030162001,31.4220729558581,121.4149621213248,10.79,250.523,550.0
735977,No0718,1608030164001,31.422005808517767,121.41474792838568,10.78,250.523,550.0
735978,No0718,1608030166000,31.421940661983818,121.41453273680628,10.9,250.523,550.0
