,order_no,locatetime,lat,lon,speed,direction,accuracy
697331,No1001,1608023525001,31.246354456415368,121.45269223019795,0.09,87.98,36.109
697332,No1001,1608023527001,31.246366432756435,121.45268420732152,0.18,190.26,36.16
697333,No1001,1608023529001,31.246380408201606,121.4526761842746,0.0,308.23,36.332
697334,No1001,1608023531001,31.246419349593854,121.45265813177949,1.29,323.29,35.739000000000004
697335,No1001,1608023533001,31.2464712486498,121.45262403452925,2.42,337.36,36.128
697336,No1001,1608023535001,31.246535153762142,121.45259494991672,3.26,341.13,37.255
697337,No1001,1608023537001,31.24661905220874,121.45256686633222,3.93,356.08,36.174
697338,No1001,1608023539001,31.246714016415247,121.45256986629363,4.55,2.44,36.948
697339,No1001,1608023541001,31.246812956036838,121.45256283865686,5.25,359.31,38.368
697340,No1001,1608023543001,31.24692293861272,121.45257686730015,5.68,4.9,39.748000000000005
697341,No1001,1608023545001,31.24705487941517,121.45257685588632,6.45,2.56,38.48
697342,No1001,1608023547001,31.247153839588318,121.45257885277722,5.31,4.69,38.125
697343,No1001,1608023549001,31.24722176122679,121.45255778966609,3.62,347.16,37.509
697344,No1001,1608023551001,31.247324571511694,121.45249460916753,4.75,346.93,37.223
697345,No1001,1608023553001,31.247427466151542,121.45246852948955,4.73,350.85,37.506
697346,No1001,1608023555001,31.247505397059136,121.45245348192684,4.03,356.37,38.094
697347,No1001,1608023557001,31.247595347640384,121.45244946326089,3.63,357.44,38.994
697348,No1001,1608023559001,31.247707461446794,121.45252164956966,2.87,15.33,35.615
697349,No1001,1608023561001,31.24776161508391,121.45259985745199,1.31,37.48,34.41
697350,No1001,1608023563001,31.247764675338,121.45262693082267,0.0,67.85,4.9
697351,No1001,1608023565001,31.247769721024543,121.45264798767755,0.0,33.92,4.9
697352,No1001,1608023567001,31.247790791529262,121.45268308137801,1.2,33.92,18.000999999999998
697353,No1001,1608023569001,31.24781388402728,121.45272820226498,2.22,46.9,17.045
697354,No1001,1608023571001,31.24783499349228,121.45278034253562,2.68,62.01,17.936
697355,No1001,1608023573001,31.24784315005986,121.45285053327757,3.27,72.81,19.665
697356,No1001,1608023575001,31.2478423131043,121.45292172772389,3.38,77.48,20.575
697357,No1001,1608023577001,31.24782847754247,121.45299091800374,3.04,82.07,21.148000000000003
697358,No1001,1608023579001,31.247822539868533,121.45301698981315,1.34,4.47,17.715999999999998
697359,No1001,1608023581001,31.2478205315871,121.4530129790166,1.08,352.79,20.881
697360,No1001,1608023583001,31.247781702825808,121.4530801662075,2.81,100.85,22.502
697361,No1001,1608023585001,31.24773292466089,121.45316740938918,3.98,111.23,24.248
697362,No1001,1608023587001,31.24769017628041,121.45326869086384,4.27,104.86,30.019000000000002
697363,No1001,1608023589001,31.247662439952457,121.45337799347644,4.42,102.43,40.353
697364,No1001,1608023591001,31.247629787080427,121.45352239360281,5.87,100.78,36.260999999999996
697365,No1001,1608023593001,31.247637172513613,121.45369085747357,7.6,89.34,36.258
697366,No1001,1608023595001,31.24761664798021,121.45389241639727,8.03,88.88,40.185
697367,No1001,1608023597001,31.247576096425874,121.45407793404223,8.09,93.74,42.666000000000004
697368,No1001,1608023599001,31.24753852826565,121.45425643318316,8.2,97.17,44.321000000000005
697369,No1001,1608023601001,31.247562961387473,121.4544469616971,7.88,93.95,44.763999999999996
697370,No1001,1608023603001,31.247533335418115,121.45460139532901,8.0,105.94,46.368
697371,No1001,1608023606001,31.24750294800224,121.45485711367118,8.05,102.22,46.589
697372,No1001,1608023608001,31.247482312876922,121.45500854040077,7.36,100.51,49.101000000000006
697373,No1001,1608023610001,31.247438617939494,121.45512988530183,6.8,105.12,49.115
697374,No1001,1608023612001,31.247381858376773,121.45522114710927,6.47,108.04,49.269
697375,No1001,1608023614001,31.247338187895643,121.45535252124064,7.39,108.96,48.137
697376,No1001,1608023616001,31.247323540509054,121.45549893600847,6.42,110.85,45.004
697377,No1001,1608023618001,31.247426985870792,121.45570651466413,4.95,109.05,39.806999999999995
697378,No1001,1608023620001,31.247444254260675,121.45582284313208,3.84,112.28,36.491
697379,No1001,1608023622001,31.247413420604122,121.45588702805199,3.69,114.63,36.006
697380,No1001,1608023624001,31.247392544435144,121.45593516664458,3.37,107.0,36.007
697381,No1001,1608023626001,31.247385740814995,121.45601639825165,3.63,102.4,38.203
697382,No1001,1608023628001,31.247390939183187,121.45610063762749,3.88,91.62,41.761
697383,No1001,1608023630001,31.247393153459896,121.45619089467311,3.85,89.68,46.266999999999996
697384,No1001,1608023632001,31.247392410040423,121.45629820094177,3.92,90.76,48.971000000000004
697385,No1001,1608023634001,31.247396729494625,121.45643258461773,3.4,86.34,48.575
697386,No1001,1608023636001,31.247411907612516,121.45650980428164,2.97,84.08,47.575
697387,No1001,1608023638001,31.247427078695377,121.45658401553605,3.11,84.97,47.96
697388,No1001,1608023640000,31.24739424738965,121.45664820236983,3.34,95.0,49.418
697389,No1001,1608023642000,31.247387320305766,121.45667728639,3.96,110.89,48.568000000000005
697390,No1001,1608023644001,31.24724943269848,121.45669835872981,5.0,135.81,47.318000000000005
697391,No1001,1608023646001,31.24713054623526,121.45672344095827,4.24,133.65,42.074
697392,No1001,1608023648001,31.247070715260172,121.45678261603518,4.13,134.13,44.913999999999994
697393,No1001,1608023650001,31.247049850022705,121.45683476768956,3.54,130.55,47.282
697394,No1001,1608023652001,31.24703881878975,121.45681972540619,2.31,137.43,49.336000000000006
