lat,lon
31.2991518,121.4326242
31.2991786,121.4326466
31.2991786,121.4326466
31.2991786,121.4326466
31.2995191,121.436278
31.2995191,121.436278
31.2995191,121.436278
31.2995191,121.436278
31.2995191,121.436278
31.2969441,121.4361153
31.2963826,121.4360999
31.29606,121.4361086
31.2954584,121.4361589
31.29491,121.4362454
31.2930056,121.4366827
31.2930056,121.4366827
31.2927974,121.4367376
31.2928158,121.4368394
31.2928158,121.4368394
31.2928158,121.4368394
31.2931505,121.4386377
31.2939395,121.4426111
31.2939945,121.4430188
31.2941319,121.443778
31.294414,121.4453372
31.294414,121.4453372
31.2937129,121.4455387
31.2937129,121.4455387
31.2937129,121.4455387
31.2926801,121.4457739
31.2909505,121.4460875
31.2909505,121.4460875
31.2907273,121.4461279
31.2904797,121.4462245
31.2890529,121.4465701
31.2883103,121.4466988
31.287457,121.4467632
31.287457,121.4467632
31.2857522,121.4468919
31.2852499,121.4469482
31.2852499,121.4469482
31.2851675,121.4469574
31.2851675,121.4469574
31.2826722,121.4472254
31.2826722,121.4472254
31.2826722,121.4472254
31.2812287,121.4473319
31.2812287,121.4473319
31.2810613,121.4473746
31.2810613,121.4473746
31.2810613,121.4473746
31.2798932,121.4474498
31.2789304,121.4476859
31.2776159,121.4481232
31.2776159,121.4481232
31.2775527,121.4481498
31.2775527,121.4481498
31.2763171,121.4487051
31.2753129,121.4493892
31.2753129,121.4493892
31.2753129,121.4493892
31.2732237,121.4507571
31.2732237,121.4507571
31.2732237,121.4507571
31.2699783,121.4529424
31.2698512,121.4530141
31.2687256,121.4537378
31.2683074,121.4539696
31.2670604,121.4544746
31.2651128,121.4552179
31.2651128,121.4552179
31.2651128,121.4552179
31.2644044,121.4554888
31.2635974,121.455875
31.2629004,121.4563728
31.2627278,121.4565563
31.2627278,121.4565563
31.2625432,121.4567772
31.2620933,121.4572311
31.2615944,121.4576689
31.26067,121.4583298
31.260017,121.4586559
31.2597088,121.4587675
31.2590412,121.4589306
31.2587138,121.4589619
31.2579744,121.459006
31.2554718,121.4590248
31.2554718,121.4590248
31.2542209,121.4589808
31.2542209,121.4589808
31.2540784,121.4589737
31.2529626,121.4588764
31.2526084,121.4588084
31.2523161,121.4587591
31.2523161,121.4587591
31.2515075,121.458617
31.2515075,121.458617
31.2512633,121.4585955
31.2506992,121.4584923
31.2493211,121.4582053
31.2486044,121.4580752
31.2482294,121.4580513
31.247044,121.4577681
31.2464021,121.4576585
